"","host_id","mean_price","min_price","max_price","count_multilisting","host_since","first_seen","last_seen","host_identity_verified","review_scores_rating","host_is_superhost_2019","max_reviews_per_month","min_reviews_per_month","avg_number_reviews","list_count_frame","diff_value","diff_change","exists_in_2019"
"51","100285018",193,193,193,2,2016,2016,2019,"t",40,"f",406,406,358,1,1,"inc","y"
"52","10028635",443,443,443,37,2013,2018,2019,"t",16.5,"t",108,48,172.5,2,35,"inc","y"
"53","100288",73,73,73,2,2010,2017,2017,"t",50,"f",50,50,14,1,1,"inc","y"
"54","10030196",515,515,515,2,2013,2017,2018,"t",44,"f",21,21,306,1,1,"inc","y"
"55","10032007",233,233,233,2,2013,2016,2016,"t",1,"f",6,6,113,1,1,"inc","y"
"56","10032016",50,50,50,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"57","10032762",619,619,619,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,NA,NA,NA,"n"
"58","1003394",25,25,25,2,2011,2016,2017,"t",42,"f",37,37,25,1,1,"inc","y"
"59","100345999",603,603,603,2,2016,2017,2017,"t",1,"f",4,4,2,1,1,"inc","y"
"60","10034987",166,166,166,2,2013,2014,2016,"t",47,"f",45,45,168,1,1,"inc","y"
"61","10035055",234,234,234,37,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,3,34,"inc","y"
"62","100354001",551,551,551,2,2016,2017,2019,"f",43,"f",438,438,324,1,1,"inc","y"
"63","10036249",233,233,233,2,2013,2014,2014,"f",38,"f",3,3,113,1,1,"inc","y"
"64","10038545",231,231,231,2,2013,2016,2018,"f",40,"f",194,194,313,1,1,"inc","y"
"65","10039346",613,613,613,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"66","10039614",231,231,231,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"67","100401692",634,634,634,2,2016,2016,2018,"f",43,"f",163,163,302,1,1,"inc","y"
"68","10040649",452.5,372,533,25,2013,2014,2017,"t",24,"f",43,7,130,2,23,"inc","y"
"69","10041857",619,619,619,2,2013,2013,2019,"t",47,"t",40,40,177,1,1,"inc","y"
"70","100421535",354,354,354,2,2016,2016,2016,"t",42,"f",7,7,113,1,1,"inc","y"
"71","100424005",392,392,392,2,2016,2017,2018,"t",47,"f",59,59,354,4,-2,"dec","y"
"72","10043726",92,92,92,2,2013,2018,2019,"t",48,"t",190,190,14,NA,NA,NA,"n"
"73","10045509",92,92,92,2,2013,2019,2019,"f",1,"f",45,45,2,1,1,"inc","y"
"74","1004883",586,586,586,25,2011,2018,2018,"f",39,"f",57,57,276,NA,NA,NA,"n"
"75","10054163",88,88,88,2,2013,2015,2015,"t",1,"f",2,2,2,1,1,"inc","y"
"76","1005489",533,533,533,2,2011,Inf,Inf,"t",NA,"f",-Inf,Inf,1,NA,NA,NA,"n"
"77","10054959",88,88,88,2,2013,2016,2018,"t",50,"t",93,93,241,NA,NA,NA,"n"
"78","100554481",562,562,562,2,2016,2019,2019,"t",1,"f",184,184,216,NA,NA,NA,"n"
"79","10055751",300.5,50,551,25,2013,2016,2016,"t",40,"f",35,10,115,2,23,"inc","y"
"80","100565897",365,365,365,37,2016,2018,2018,"f",1,"f",56,36,246,NA,NA,NA,"n"
"81","10057035",43,43,43,2,2013,2018,2019,"t",1,"f",76,76,321,1,1,"inc","y"
"82","100586983",626,626,626,50,2016,2016,2019,"f",50,"t",728,728,105,4,46,"inc","y"
"83","100595030",590.5,562,619,25,2016,2017,2018,"t",1,"t",58,43,25,2,23,"inc","y"
"84","1005966",296,296,296,2,2011,2019,2019,"t",1,"f",45,45,2,NA,NA,NA,"n"
"85","10061009",634,634,634,50,2013,2017,2019,"f",50,"t",346,346,303,3,47,"inc","y"
"86","10061428",509,509,509,25,2013,2015,2016,"t",1,"t",15,15,321,3,22,"inc","y"
"87","1006421",43,43,43,2,2011,2018,2018,"t",42,"f",24,24,113,NA,NA,NA,"n"
"88","100656374",3,3,3,2,2016,2017,2019,"f",51,"t",301,301,314,1,1,"inc","y"
"89","100658944",385,385,385,57,2016,2018,2018,"f",42,"f",27,27,113,NA,NA,NA,"n"
"90","100663770",169,169,169,2,2016,2018,2019,"t",48,"t",331,331,114,NA,NA,NA,"n"
"91","100672521",607,509,659,37,2016,2017,2019,"f",36.6666666666667,"f",473,268,77.6666666666667,3,34,"inc","y"
"92","100675420",570,570,570,2,2016,2017,2019,"f",50,"t",551,551,335,1,1,"inc","y"
"93","100685031",85,85,85,2,2016,2017,2019,"f",50,"t",369,369,313,1,1,"inc","y"
"94","100687035",226,226,226,2,2016,2018,2019,"f",1,"t",111,111,14,NA,NA,NA,"n"
"95","100698803",437,437,437,2,2016,2019,2019,"f",1,"f",385,385,332,NA,NA,NA,"n"
"96","100701558",3,3,3,2,2016,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"97","100704594",199,199,199,2,2016,2018,2018,"t",1,"f",324,324,69,NA,NA,NA,"n"
"98","100707650",146,146,146,2,2016,2017,2019,"f",51,"t",531,531,6,NA,NA,NA,"n"
"99","10071119",3,3,3,2,2013,2014,2014,"f",1,"f",2,2,2,1,1,"inc","y"
"100","10071397",169,169,169,2,2013,2014,2018,"t",13,"f",6,6,276,1,1,"inc","y"
"101","100718",650,650,650,2,2010,2016,2018,"f",45,"f",40,40,14,1,1,"inc","y"
"102","100721907",586,586,586,2,2016,2016,2019,"f",41,"f",304,304,329,1,1,"inc","y"
"103","100728146",570,570,570,2,2016,Inf,Inf,"f",NA,"f",-Inf,Inf,1,NA,NA,NA,"n"
"104","10073006",122,122,122,2,2013,2017,2019,"t",45,"f",359,359,312,1,1,"inc","y"
"105","10074473",533,533,533,2,2013,2016,2018,"t",37,"f",71,71,136,1,1,"inc","y"
"106","10074602",169,169,169,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"107","100746171",55,55,55,2,2016,2016,2019,"f",46,"f",277,277,322,1,1,"inc","y"
"108","10075380",209,209,209,2,2013,2017,2018,"t",1,"f",12,12,216,1,1,"inc","y"
"109","1007558",92,92,92,2,2011,2015,2019,"t",47,"f",764,764,214,1,1,"inc","y"
"110","100757200",52,52,52,2,2016,2016,2019,"t",39,"f",633,633,70,1,1,"inc","y"
"111","100757237",263,263,263,37,2016,2016,2019,"f",47,"f",339,339,340,2,35,"inc","y"
"112","100757442",443,443,443,25,2016,2019,2019,"t",1,"f",51,51,2,NA,NA,NA,"n"
"113","100758295",533,533,533,2,2016,2017,2018,"f",38,"f",130,130,177,NA,NA,NA,"n"
"114","10076276",481,481,481,2,2013,2016,2018,"t",45,"f",42,42,36,1,1,"inc","y"
"115","10077626",481,481,481,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"116","10077970",515,515,515,2,2013,2017,2017,"t",1,"f",17,17,216,1,1,"inc","y"
"117","100781220",25,25,25,2,2016,2016,2019,"f",45,"f",287,287,322,1,1,"inc","y"
"118","100784323",481,481,481,2,2016,2017,2018,"t",43,"f",64,64,47,1,1,"inc","y"
"119","100806",551,551,551,2,2010,2018,2019,"t",50,"f",122,122,343,NA,NA,NA,"n"
"120","1008066",233,233,233,2,2011,2018,2019,"f",43,"f",135,135,332,NA,NA,NA,"n"
"121","100812175",487,487,487,2,2016,2017,2019,"t",51,"t",493,493,4,1,1,"inc","y"
"122","100829279",206.666666666667,181,258,37,2016,2016,2019,"t",50.3333333333333,"t",734,685,154.333333333333,3,34,"inc","y"
"123","100833625",474,474,474,2,2016,2017,2017,"f",42,"f",23,23,276,1,1,"inc","y"
"124","100835599",220,38,402,25,2016,2017,2017,"t",47,"f",58,58,13,3,22,"inc","y"
"125","100836839",570,570,570,2,2016,2017,2017,"f",1,"f",6,6,2,1,1,"inc","y"
"126","100841539",522,522,522,2,2016,2017,2019,"t",39,"f",613,613,360,1,1,"inc","y"
"127","100842144",92,92,92,37,2016,2017,2018,"t",1,"f",30,30,343,1,36,"inc","y"
"128","10087095",169,169,169,2,2013,2013,2018,"f",45,"f",52,52,241,1,1,"inc","y"
"129","10087976",164,164,164,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"130","10089405",43,43,43,2,2013,2019,2019,"f",1,"f",48,48,2,1,1,"inc","y"
"131","100900044",14,14,14,2,2016,2017,2019,"f",47,"f",88,88,136,1,1,"inc","y"
"132","100935364",439.5,436,443,25,2016,2017,2019,"f",44,"f",130,82,126,1,24,"inc","y"
"133","10094431",32,32,32,2,2013,2014,2019,"f",51,"t",126,126,333,1,1,"inc","y"
"134","10095503",130,130,130,2,2013,2015,2016,"t",48,"f",17,17,332,2,0,"same","y"
"135","100965471",39,39,39,2,2016,2018,2018,"f",45,"f",27,27,216,NA,NA,NA,"n"
"136","10096792",510,510,510,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,NA,NA,NA,"n"
"137","100970377",169,169,169,2,2016,2017,2017,"f",45,"f",18,18,216,1,1,"inc","y"
"138","100970583",481,481,481,25,2016,2016,2019,"f",49.5,"f",303,75,227,NA,NA,NA,"n"
"139","100971588",586,586,586,2,2016,2017,2019,"f",49,"t",102,102,188,1,1,"inc","y"
"140","100981446",245.666666666667,166,291,37,2016,2016,2019,"f",45.5,"t",280,105,127.333333333333,2,35,"inc","y"
"141","10098825",551,551,551,25,2013,2016,2018,"f",47,"t",82,82,168,2,23,"inc","y"
"142","10099253",78,78,78,2,2013,2016,2016,"f",NA,"f",3,3,2,1,1,"inc","y"
"143","10099617",8,8,8,37,2013,2016,2018,"t",48,"f",39,39,14,2,35,"inc","y"
"144","10099888",637,637,637,2,2013,2014,2016,"t",37,"f",15,15,354,1,1,"inc","y"
"145","10100413",92,92,92,2,2013,2013,2019,"f",42,"f",141,141,353,1,1,"inc","y"
"146","1010242",80,80,80,2,2011,2011,2019,"t",50,"t",125,125,19,1,1,"inc","y"
"147","10102581",92,92,92,2,2013,Inf,Inf,"f",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"148","10102809",3,3,3,2,2013,2014,2014,"t",32,"f",4,4,113,1,1,"inc","y"
"149","1010338",105,105,105,2,2011,2013,2019,"t",51,"f",58,58,273,1,1,"inc","y"
"150","1010344",169,169,169,2,2011,2014,2016,"t",49,"f",11,11,321,1,1,"inc","y"
"151","10103520",162,162,162,2,2013,2014,2019,"f",50,"t",43,43,188,1,1,"inc","y"
"152","101036928",3,3,3,2,2016,2018,2018,"f",NA,"f",24,24,2,NA,NA,NA,"n"
"153","1010374",88,88,88,2,2011,2015,2018,"t",48,"f",71,71,241,1,1,"inc","y"
"154","101038839",140,140,140,25,2016,2016,2019,"f",1,"t",11,11,216,NA,NA,NA,"n"
"155","1010435",50,50,50,2,2011,2017,2018,"f",32,"f",15,15,216,1,1,"inc","y"
"156","101051232",603,603,603,2,2016,2018,2019,"f",34,"f",173,173,125,1,1,"inc","y"
"157","101053359",659,659,659,2,2016,2017,2018,"f",42,"f",12,12,113,1,1,"inc","y"
"158","10106740",280,280,280,2,2013,2018,2019,"t",45,"f",60,60,216,1,1,"inc","y"
"159","101067646",127,127,127,2,2016,2018,2018,"t",45,"f",41,41,216,NA,NA,NA,"n"
"160","10109204",551,551,551,2,2013,2016,2018,"t",1,"f",10,10,216,1,1,"inc","y"
"161","1010940",220,220,220,2,2011,2014,2015,"t",1,"f",10,10,321,1,1,"inc","y"
"162","10109608",326,101,551,25,2013,2017,2017,"t",24.5,"f",98,48,337.5,1,24,"inc","y"
"163","10110888",95,95,95,2,2013,2016,2019,"t",49,"t",90,90,188,1,1,"inc","y"
"164","101109383",296,296,296,2,2016,2018,2019,"f",37,"f",139,139,14,NA,NA,NA,"n"
"165","101113595",629,629,629,2,2016,2016,2017,"t",1,"f",8,8,113,1,1,"inc","y"
"166","101113812",165,165,165,2,2016,2016,2017,"t",50,"f",37,37,3,1,1,"inc","y"
"167","10111580",292,292,292,2,2013,2015,2016,"t",42,"f",5,5,113,1,1,"inc","y"
"168","10112706",474,474,474,2,2013,2017,2019,"f",45,"f",374,374,300,2,0,"same","y"
"169","101131690",130,130,130,2,2016,2017,2019,"t",1,"t",94,94,69,1,1,"inc","y"
"170","101131904",401,401,401,2,2016,2016,2019,"f",47,"f",178,178,303,1,1,"inc","y"
"171","10113487",212,212,212,2,2013,2015,2018,"t",51,"f",60,60,188,1,1,"inc","y"
"172","10113653",401,401,401,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"173","10113673",98,98,98,2,2013,2017,2017,"t",1,"f",9,9,113,2,0,"same","y"
"174","1011426",410,410,410,2,2011,2011,2019,"t",48,"t",58,58,310,1,1,"inc","y"
"175","101144679",634,634,634,2,2016,2018,2019,"f",1,"t",294,294,58,NA,NA,NA,"n"
"176","101170153",3,3,3,2,2016,2018,2018,"f",1,"f",118,118,343,NA,NA,NA,"n"
"177","101170573",603,603,603,2,2016,2018,2018,"f",NA,"f",7,7,2,1,1,"inc","y"
"178","101188",296,296,296,2,2010,2016,2016,"f",NA,"f",7,7,113,NA,NA,NA,"n"
"179","10120673",166.5,140,193,25,2013,2018,2018,"f",1,"f",18,18,1.5,NA,NA,NA,"n"
"180","10121204",481,481,481,2,2013,Inf,Inf,"f",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"181","101216314",158.4,43,551,59,2016,2016,2019,"t",45.8,"f",535,275,242.6,4,55,"inc","y"
"182","10123248",233,233,233,2,2013,2014,2019,"t",49,"t",135,135,349,1,1,"inc","y"
"183","10124193",480,480,480,2,2013,2014,2014,"f",1,"f",11,11,321,1,1,"inc","y"
"184","10124757",146,146,146,2,2013,2015,2016,"t",45,"f",7,7,216,1,1,"inc","y"
"185","10125401",72,72,72,2,2013,2016,2019,"f",41,"f",150,150,310,1,1,"inc","y"
"186","10125456",32,32,32,2,2013,2015,2019,"t",48,"t",94,94,302,1,1,"inc","y"
"187","1012583",557.5,533,582,25,2011,2014,2017,"t",37.5,"t",176,14,163.5,2,23,"inc","y"
"188","101258676",467,467,467,2,2016,2017,2019,"f",48,"t",516,516,363,1,1,"inc","y"
"189","101262003",92,92,92,2,2016,Inf,Inf,"t",NA,"f",-Inf,Inf,1,2,0,"same","y"
"190","1012628",92,92,92,2,2011,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"191","1012691",43,43,43,2,2011,2012,2019,"t",45,"t",99,99,347,1,1,"inc","y"
"192","10127519",353,353,353,2,2013,2017,2018,"t",1,"f",26,26,321,1,1,"inc","y"
"193","101276529",652,652,652,2,2016,2016,2019,"f",49,"t",302,302,327,1,1,"inc","y"
"194","10128779",92,92,92,2,2013,2017,2018,"t",1,"f",37,37,332,1,1,"inc","y"
"195","101289150",623,623,623,25,2016,2016,2019,"f",50,"t",359,359,342,2,23,"inc","y"
"196","1012895",509,509,509,2,2011,2013,2018,"t",46,"f",27,27,102,1,1,"inc","y"
"197","10129919",583,580,586,25,2013,2014,2019,"t",50,"t",415,414,90.5,2,23,"inc","y"
"198","1013131",136,136,136,2,2011,2012,2019,"t",46,"f",392,392,192,1,1,"inc","y"
"199","10131727",21,21,21,2,2013,2015,2015,"f",5,"f",2,2,2,1,1,"inc","y"
"200","10132166",1,1,1,2,2013,2017,2018,"t",39,"f",19,19,216,1,1,"inc","y"
"201","10132406",92,92,92,2,2013,2018,2018,"f",1,"f",19,19,113,NA,NA,NA,"n"
"202","101328784",251,251,251,2,2016,2018,2018,"f",40,"f",109,109,3,NA,NA,NA,"n"
"203","1013329",76,76,76,2,2011,2017,2019,"f",47,"f",77,77,36,1,1,"inc","y"
"204","10134825",375,9,629,50,2013,2015,2015,"t",40.3333333333333,"f",14,12,233.5,4,46,"inc","y"
"205","101349798",199,199,199,2,2016,Inf,Inf,"f",NA,"f",-Inf,Inf,1,NA,NA,NA,"n"
"206","10135",54.5,43,66,67,2009,2014,2018,"t",44,"f",277,119,173,7,60,"inc","y"
"207","10135994",533,533,533,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"208","10136764",39,39,39,2,2013,2015,2018,"t",41,"f",181,181,348,1,1,"inc","y"
"209","101367917",92,92,92,2,2016,2018,2018,"f",1,"f",94,94,216,NA,NA,NA,"n"
"210","101369464",3,3,3,2,2016,2017,2019,"f",50,"f",575,575,362,2,0,"same","y"
"211","101378990",136,136,136,2,2016,2016,2017,"f",6,"f",15,15,276,1,1,"inc","y"
"212","101388075",316,13,619,71,2016,2016,2019,"f",40,"f",365,131,175.5,2,69,"inc","y"
"213","101410003",268,268,268,6,2016,2019,2019,"f",1,"t",47,47,2,NA,NA,NA,"n"
"214","101423403",170,170,170,2,2016,2019,2019,"t",1,"f",100,100,2,2,0,"same","y"
"215","101430405",444,444,444,73,2016,Inf,Inf,"f",NA,"f",-Inf,Inf,1,8,65,"inc","y"
"216","101432521",270,270,270,25,2016,2018,2018,"f",1,"f",19,19,113,2,23,"inc","y"
"217","101435219",121.5,111,132,25,2016,2016,2018,"t",50.5,"t",298,156,291.5,2,23,"inc","y"
"218","101438864",193.5,92,295,25,2016,2018,2019,"t",49,"t",685,80,330,NA,NA,NA,"n"
"219","1014484",152,152,152,2,2011,2014,2016,"t",45,"f",5,5,216,1,1,"inc","y"
"220","101457588",570,570,570,2,2016,2018,2018,"t",1,"f",11,11,2,NA,NA,NA,"n"
"221","10146370",68.5,31,106,25,2013,2015,2018,"t",47.5,"f",140,80,260,1,24,"inc","y"
"222","1014639",103,103,103,2,2011,2017,2018,"f",47,"f",22,22,276,1,1,"inc","y"
"223","10148113",570,570,570,2,2013,2014,2015,"t",32,"f",6,6,216,1,1,"inc","y"
"224","101491116",245.833333333333,155,392,67,2016,2016,2017,"t",45,"f",318,8,141.666666666667,2,65,"inc","y"
"225","10149317",627,627,627,2,2013,2016,2019,"f",49,"f",80,80,224,NA,NA,NA,"n"
"226","101493347",599,599,599,25,2016,2016,2018,"t",42,"f",66,66,91,2,23,"inc","y"
"227","10149453",25,25,25,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"228","10149880",16,16,16,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"229","101498908",471.5,392,551,25,2016,2018,2018,"f",24.5,"f",148,32,80,NA,NA,NA,"n"
"230","101499766",507,481,533,25,2016,2016,2019,"f",48,"f",332,202,256.5,1,24,"inc","y"
"231","10150461",515,515,515,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"232","10150870",169,169,169,2,2013,2018,2018,"f",40,"f",57,57,306,NA,NA,NA,"n"
"233","10150931",122,122,122,2,2013,2014,2016,"t",32,"f",12,12,332,1,1,"inc","y"
"234","10151469",92,92,92,2,2013,2019,2019,"t",1,"f",100,100,2,1,1,"inc","y"
"235","101529107",114,114,114,2,2016,2017,2017,"f",32,"f",4,4,2,1,1,"inc","y"
"236","10153235",212,212,212,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"237","101533618",43,43,43,2,2016,2018,2018,"f",1,"f",70,70,332,NA,NA,NA,"n"
"238","1015345",352,352,352,50,2011,2017,2019,"t",43,"f",418,418,340,12,38,"inc","y"
"239","1015393",78,78,78,36,2011,2014,2019,"t",51,"t",82,82,295,18,18,"inc","y"
"240","10153970",88,88,88,2,2013,2016,2016,"f",1,"f",3,3,2,1,1,"inc","y"
"241","10154856",169,169,169,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"242","101550977",14,3,25,25,2016,2016,2019,"t",45.5,"f",281,150,303,2,23,"inc","y"
"243","101557399",43,43,43,2,2016,2016,2019,"f",39,"f",177,177,302,1,1,"inc","y"
"244","101568108",169,169,169,2,2016,2018,2019,"t",1,"f",58,58,113,NA,NA,NA,"n"
"245","101569412",3,3,3,2,2016,2016,2018,"f",1,"f",62,62,80,1,1,"inc","y"
"246","10158478",354,354,354,2,2013,Inf,Inf,"f",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"247","10158500",545,545,545,2,2013,2013,2018,"t",38,"f",108,108,331,2,0,"same","y"
"248","1015883",58,58,58,2,2011,2018,2018,"t",1,"f",92,92,276,NA,NA,NA,"n"
"249","101597",49,49,49,2,2010,2012,2019,"t",49,"t",25,25,114,NA,NA,NA,"n"
"250","1016005",634,634,634,25,2011,2018,2019,"t",1,"t",42,42,321,2,23,"inc","y"
"251","10160214",115,115,115,2,2013,2018,2019,"t",47,"f",68,68,276,NA,NA,NA,"n"
"252","101602599",533.5,481,586,25,2016,2016,2018,"t",47.5,"t",631,32,344.5,2,23,"inc","y"
"253","101604346",34,34,34,2,2016,2016,2019,"f",39,"f",719,719,99,1,1,"inc","y"
"254","10162189",122,122,122,2,2013,2016,2019,"t",51,"t",133,133,277,1,1,"inc","y"
"255","10162529",334,280,388,25,2013,2014,2018,"t",23,"f",147,54,180,2,23,"inc","y"
"256","101632253",3,3,3,2,2016,2017,2018,"f",47,"f",76,76,114,1,1,"inc","y"
"257","101643312",204,88,320,25,2016,Inf,Inf,"f",NA,"f",-Inf,Inf,1,NA,NA,NA,"n"
"258","10164435",374.666666666667,130,574,37,2013,2015,2019,"t",45.3333333333333,"f",666,466,167.333333333333,2,35,"inc","y"
"259","101653570",551.666666666667,528,599,37,2016,2016,2019,"t",46.3333333333333,"f",699,603,75.6666666666667,4,33,"inc","y"
"260","101653578",333,333,333,2,2016,2016,2019,"f",51,"t",414,414,360,1,1,"inc","y"
"261","101657794",343.333333333333,3,551,67,2016,2016,2017,"f",36.6666666666667,"f",306,50,162.5,8,59,"inc","y"
"262","101672721",50,50,50,2,2016,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"263","10167933",92,92,92,2,2013,2015,2015,"t",NA,"f",3,3,2,1,1,"inc","y"
"264","101695430",3,3,3,2,2016,Inf,Inf,"f",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"265","101712494",509,509,509,25,2016,2016,2017,"t",14,"f",43,15,150.5,2,23,"inc","y"
"266","101720883",551,551,551,2,2016,2017,2018,"f",40,"f",131,131,158,1,1,"inc","y"
"267","1017231",50,50,50,2,2011,2015,2016,"t",1,"f",19,19,343,1,1,"inc","y"
"268","10172703",487,487,487,37,2013,2014,2019,"t",49,"t",187,187,5,3,34,"inc","y"
